Tenant,Tenant_ID,Studio_Name,Email,Contact_Person,Total_Entries,Event_1,Event_1_Entries,Event_2,Event_2_Entries,Event_3,Event_3_Entries,Event_4,Event_4_Entries,Has_Email,Ready_For_Invitation
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"NJADS","hello@njads.ca",,100,"St. Catharines Spring",100,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Northern Lights","christineeagle@ymail.com",,55,"St. Catharines Spring",55,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Taylors Dance","tdataylorsdanceacademy@gmail.com",,40,"St. Catharines Spring",40,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancecore","info@dancecoreinc.com",,50,"St. Catharines Spring",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"The Dance Extension","danceextension@bellnet.ca",,60,"St. Catharines Spring",60,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Expressions Dance","misskennedy@expressionsdancecompany.ca",,120,"St. Catharines Spring",120,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Impact Dance Complex","info@impactdancecomplex.ca",,70,"St. Catharines Spring",70,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Studio 519","studio519da@gmail.com",,25,"St. Catharines Spring",25,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Poise Dance Academy","comp@poisedance.ca & artisticdirector@poisedance.ca",,70,"Blue Mountain Spring",70,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Danceology","dmkdanceology@gmail.com",,160,"Blue Mountain Spring",80,"Toronto",80,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancetastic","fidei@rogers.com",,90,"Blue Mountain Spring",90,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Cassiahs Dance Company","cassiahsdancecompany@gmail.com",,30,"Blue Mountain Spring",30,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancesations","dance@dancesationsacademy.com",,80,"Blue Mountain Spring",80,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Uxbridge","emily.einsmann@gmail.com",,50,"Blue Mountain Spring",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Fever","info@thedancefever.com",,160,"Blue Mountain Spring",160,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancing Angels","dancingangelsacademy@hotmail.com",,30,"Blue Mountain Spring",30,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"CDA","comp.cda@gmail.com & frontdeskcdadance@gmail.com & cdadance@rogers.com",,22,"Blue Mountain Spring",22,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancepirations","krystal.m.eisa@gmail.com",,45,"Blue Mountain Spring",45,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Body Lines Dance & Fitness","bodylinesdanceandfitnessmkm@gmail.com",,120,"Toronto",120,,,,,,,YES,YES
