Tenant,Tenant_ID,Studio_Name,Email,Total_Spaces,Competition_1,Spaces_1,Competition_2,Spaces_2,Competition_3,Spaces_3,Competition_4,Spaces_4,Has_Email,Ready_For_Invitation
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Body Lines Dance & Fitness","bodylinesdanceandfitnessmkm@gmail.com",120,"GLOW Toronto 2026",120,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Cassiahs Dance Company","cassiahsdancecompany@gmail.com",70,"GLOW Blue Mountain Spring 2026",70,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"CDA","comp.cda@gmail.com",40,"GLOW Blue Mountain Spring 2026",40,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancecore","info@dancecoreinc.com",60,"GLOW St. Catharines Spring 2026",60,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancemakers","mijkahooper@yahoo.ca",50,"GLOW Blue Mountain Summer 2026",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Danceology","dmkdanceology@gmail.com",160,"GLOW Blue Mountain Spring 2026",80,"GLOW Toronto 2026",80,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Danceology Toronto",,80,"GLOW Toronto 2026",80,,,,,,,NO,NO
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancepirations","krystal.m.eisa@gmail.com",70,"GLOW Blue Mountain Spring 2026",70,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancesations","dance@dancesationsacademy.com",50,"GLOW Blue Mountain Spring 2026",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancetastic","fidei@rogers.com",100,"GLOW Blue Mountain Spring 2026",100,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Dancing Angels","dancingangelsacademy@hotmail.com",30,"GLOW Blue Mountain Spring 2026",30,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Expressions Dance","misskennedy@expressionsdancecompany.ca",30,"GLOW St. Catharines Spring 2026",30,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Fame School","theresa@fameperformingarts.com",30,"GLOW Toronto 2026",30,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Fever","info@thedancefever.com",50,"GLOW Blue Mountain Spring 2026",50,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Goddards","ashley@goddardsstudio.com",40,"GLOW Blue Mountain Summer 2026",40,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Impact Dance Complex","info@impactdancecomplex.ca",40,"GLOW St. Catharines Spring 2026",40,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"JDanse","dance@jdansestudio.com",35,"GLOW Toronto 2026",35,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Kingston Dance Force","sarrah@danceforce.ca & kdfcomp@danceforce.ca",80,"GLOW Blue Mountain Summer 2026",80,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Legacy Acro","info@legacyacrobatics.ca",40,"GLOW Blue Mountain Summer 2026",40,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"Mariposa","mariposadancecompany@gmail.com",60,"GLOW Blue Mountain Summer 2026",60,,,,,,,YES,YES
Glow,4b9c1713-40ab-460b-8dda-5a8cf6cbc9b5,"NJADS","hello@njads.ca",100,"GLOW St. Catharines Spring 2026",100,,,,,,,YES,YES
